name,red,rmax,rmin,rdelta,rresult,r_values,r_time,blue,bmax,bmin,bdelta,bresult,b_values,b_time
SN1991T,"[12.8, 12.53, 12.32, 12.3, 12.16, 12.134, 12.08, 11.971, 11.76, 11.7, 11.7, 11.54, 11.53, 11.533, 11.52, 11.41, 11.53, 11.39]",11.39,21.36,9.969999999999999,0.8753292361720806,"[14.623069207622871, 14.314613841524576, 14.074704112337013, 14.051855566700103, 13.891915747241725, 13.862212637913744, 13.800521564694085, 13.675996990972921, 13.434944834503513, 13.36639919759278, 13.36639919759278, 13.183610832497493, 13.172186559679037, 13.175613841524576, 13.160762286860585, 13.035095285857574, 13.172186559679037, 13.012246740220665]","[48362.35, 48363.27, 48364.14, 48364.26, 48365.15, 48365.16, 48366.16, 48366.17, 48367.52, 48368.2, 48368.2, 48370.12, 48372.2, 48372.2, 48374.14, 48374.51, 48375.15, 48375.22]","[13.4, 13.0, 12.73, 12.712, 12.8, 12.8, 12.62, 12.51, 12.46, 12.45, 12.362, 11.75, 12.152, 11.76, 11.94, 11.78, 11.78, 11.748, 11.75, 11.72, 11.66]",11.66,21.49,9.829999999999998,0.8430531732418524,"[15.894608341810786, 15.420142421159719, 15.099877924720248, 15.07852695829095, 15.182909460834185, 15.182909460834185, 14.9693997965412, 14.83892166836216, 14.779613428280776, 14.767751780264499, 14.663369277721264, 13.93743641912513, 14.414274669379452, 13.949298067141406, 14.162807731434386, 13.973021363173958, 13.973021363173958, 13.935064089521873, 13.93743641912513, 13.9018514750763, 13.83068158697864]","[48360.9, 48362.35, 48363.15, 48363.27, 48363.3, 48363.3, 48363.9, 48363.96, 48364.14, 48364.26, 48365.16, 48366.07, 48366.17, 48367.26, 48367.52, 48368.2, 48368.2, 48372.2, 48372.2, 48374.14, 48374.51]"
SN2009dc,"[18.824, 15.4355, 15.622, 15.501, 15.3649, 15.5, 15.446, 15.43, 15.475, 15.494, 15.2238, 15.376, 15.391, 15.171, 15.295, 15.1358, 15.307, 15.1183]",15.1183,22.6,7.481700000000002,0.49487706951178384,"[38.0377292861248, 31.190574287929202, 31.567435556090185, 31.322930390151964, 31.04791259606773, 31.320909686301235, 31.211791678361863, 31.179460416750196, 31.270392090033006, 31.30878546319686, 30.762791282729854, 31.07034240881082, 31.100652966571758, 30.656098119411357, 30.906665396901765, 30.58496934386569, 30.930913843110513, 30.549607026477933]","[54925.45, 54937.99414, 54938.48, 54939.16, 54939.37345, 54939.45, 54940.13, 54940.42, 54940.43, 54940.44, 54942.13207, 54942.45, 54942.46, 54944.89069, 54946.47, 54947.64931, 54948.37, 54949.71828]","[15.7953, 15.7, 15.555, 15.7248, 15.549, 15.507, 15.474, 15.4217, 15.511, 15.561, 15.4194, 15.5483, 15.4029, 15.432, 15.455, 15.458, 15.5307, 15.3055, 15.357, 15.3382, 15.353, 15.3117, 15.387, 15.298]",15.298,21.868,6.5699999999999985,0.42946790430121573,"[36.778767031963476, 36.55686453576865, 36.21923744292238, 36.61461041095891, 36.205266666666674, 36.10747123287672, 36.03063196347033, 35.90885336377474, 36.11678508371386, 36.23320821917809, 35.90349789954339, 36.20363674277017, 35.86507826484019, 35.93283652968038, 35.98639117199392, 35.993376560121774, 36.162655799086764, 35.638285996955865, 35.758201826484026, 35.71442672754948, 35.74888797564689, 35.652722465753435, 35.828055707762566, 35.62082252663623]","[54937.99414, 54938.48, 54939.16, 54939.37345, 54939.45, 54940.13, 54940.42, 54940.42416, 54940.43, 54940.44, 54941.40428, 54942.13207, 54942.23464, 54942.29708, 54942.45, 54942.46, 54943.51138, 54944.24915, 54945.26167, 54945.27839, 54946.271, 54946.4202, 54946.47, 54946.5709]"
SN2010ii,"[17.871, 16.589, 16.437, 16.38, 16.335]",16.335,17.979,1.6439999999999984,0.10064279155188235,"[177.5686040145987, 164.8304835766425, 163.3201916058396, 162.7538321167885, 162.30670620437976]","[55470.36, 55476.23, 55478.23, 55480.22, 55482.18]","[18.065, 17.397, 16.696, 16.566, 16.489]",16.489,19.633,3.1439999999999984,0.19067257,"[94.74357029262093, 91.24018225190844, 87.5637226463105, 86.88192557251912, 86.47809192111966]","[55470.36, 55472.33, 55476.23, 55478.23, 55480.22]"
SN2005bc,"[15.857, 15.699, 15.635, 15.643, 15.629]",15.629,18.502,2.8729999999999993,0.18382494081515127,"[86.26141768186567, 85.40190428123914, 85.05374695440308, 85.0972666202576, 85.0211072050122]","[53465.46, 53466.47, 53470.43, 53471.43, 53472.46]","[16.533, 16.426, 16.294]",16.294,19.717,3.4229999999999983,0.21007732907818819,"[78.69959158632783, 78.19025533158052, 77.56191527899507]","[53465.46, 53466.47, 53470.43]"
SN2010B,[14.3912],14.3912,15.3604,0.9692000000000007,0.067346712,[213.68823508047856],[55210.61377],[15.2967],15.2967,17.3172,2.0205,0.13208731294985193,[115.8074886859688],[55210.95603]
SN2005de,"[16.557, 16.115, 15.945, 15.823, 15.727, 15.653, 15.602, 15.566, 15.506]",15.506,18.486,2.9800000000000004,0.19218367083709534,"[86.15196040268455, 83.85207718120803, 82.96750671140938, 82.33269731543623, 81.83317516778523, 81.44812684563757, 81.18275570469797, 80.99543489932886, 80.68323355704698]","[53588.3, 53590.26, 53591.24, 53592.29, 53593.24, 53594.24, 53595.24, 53596.25, 53599.27]","[16.869, 16.661, 16.446, 16.273, 16.137, 16.011, 15.921, 15.871, 15.868, 15.761]",15.761,19.468,3.7070000000000007,0.235200812,"[71.72169112489883, 70.83734043701105, 69.92322794712706, 69.18768626922038, 68.60945697329375, 68.07374453736172, 67.69109279741028, 67.47850849743726, 67.46575343943888, 67.0108230374966]","[53588.3, 53589.26, 53590.26, 53591.24, 53592.29, 53593.24, 53594.24, 53595.24, 53596.25, 53599.27]"
SN1998dx,[17.578],17.578,20.097,2.519000000000002,0.1433041301627035,[122.66220087336235],[51072.12],[17.689],17.689,21.552,3.8629999999999995,0.21838430663123973,[80.99941004400725],[51072.12]
SN2000cu,"[16.301, 15.96, 15.934]",15.934,18.69,2.756000000000002,0.17296347433161804,"[94.24533164005797, 92.27381712626989, 92.1234963715529]","[51738.36, 51744.3, 51747.32]","[16.689, 16.243]",16.243,19.814,3.5710000000000015,0.21984855014467783,"[75.91134892187058, 73.88267964155695]","[51738.36, 51744.3]"
SN2004bd,[15.225],15.225,18.014,2.7889999999999997,0.1831855500821018,[83.11245069917534],[53104.23],[16.593],16.593,19.277,2.684000000000001,0.16175495690954023,[102.58109128166912],[53107.28]
SN2008dx,"[17.53, 17.496, 17.451, 17.423]",17.423,18.262,0.8390000000000022,0.048154738,"[364.03479141835425, 363.3287342073887, 362.39424672228745, 361.8127878426688]","[54645.2, 54646.2, 54647.22, 54648.2]","[18.358, 18.171]",18.171,18.983,0.8120000000000012,0.044686588520169566,"[410.81677093596, 406.63207019704373]","[54644.9633, 54645.2]"
